site,type,AP_kcal,NPE_kcal,NPE_AP_ratio,AP_per_g,NPE_per_g,part
TLK,food,11.37217403,157.3080791,13.83271823,0.11372174,1.573080791,FR
TLK,food,36.37731905,238.6600116,6.560681706,0.36377319,2.386600116,FR
TLK,food,13.58788336,365.5662465,26.90384049,0.135878834,3.655662465,FR
TLK,food,16.23312348,240.877815,14.83866092,0.162331235,2.40877815,FR
TLK,food,53.31750723,249.9371614,4.687712804,0.533175072,2.499371614,FR
TLK,food,12.18428277,262.7976712,21.56857948,0.121842828,2.627976712,LE
TLK,food,36.81567963,172.6099739,4.688490763,0.368156796,1.726099739,LE
TLK,food,44.64383101,223.9811848,5.017069094,0.44643831,2.239811848,FR
TLK,food,88.09778576,174.6271655,1.982196987,0.880977858,1.746271655,LE
TLK,food,24.04357171,242.7397482,10.09582733,0.240435717,2.427397482,FR
TLK,food,27.60594032,394.3132443,14.2836375,0.276059403,3.943132443,FR
TLK,food,56.40247179,284.0306014,5.035782872,0.564024718,2.840306014,FR
TLK,food,10.56004826,149.1577122,14.1247188,0.105600483,1.491577122,FR
TLK,food,18.07962095,177.6831626,9.827814594,0.18079621,1.776831626,FR
TLK,food,27.36938824,380.597284,13.90594779,0.273693882,3.80597284,FR
TLK,food,86.02799176,207.6069328,2.413248625,0.860279918,2.076069328,LE
TLK,food,18.56978712,170.035756,9.156580788,0.185697871,1.70035756,LE
TLK,food,11.70939998,257.7437678,22.01169729,0.117094,2.577437678,FR
TLK,food,37.90391065,231.4794754,6.107007732,0.379039106,2.314794754,LE
TLK,food,79.01470802,156.5557825,1.981349884,0.79014708,1.565557825,LE
TLK,food,40.01961476,161.7552682,4.041899684,0.400196148,1.617552682,FR
TLK,food,7.2211958,261.7251886,36.24402327,0.072211958,2.617251886,FR
TLK,food,37.05367345,283.7986966,7.659124457,0.370536735,2.837986966,FR
TLK,food,23.32023352,364.8821115,15.64658909,0.233202335,3.648821115,FR
TLK,food,57.67159426,174.4962472,3.02568794,0.576715943,1.744962472,OT
TLK,food,5.368393673,265.9850372,49.54648511,0.053683937,2.659850372,LE
TLK,food,46.1244821,177.9605688,3.858267035,0.461244821,1.779605688,LE
TLK,food,9.407409846,176.9751961,18.81231911,0.094074098,1.769751961,FR
TLK,food,32.66422293,182.5781978,5.589546648,0.326642229,1.825781978,LE
TLK,food,19.88511808,373.2780844,18.77173084,0.198851181,3.732780844,FR
TLK,food,35.99336279,308.9046655,8.582267438,0.359933628,3.089046655,FR
TLK,food,7.339667148,243.9953258,33.24337751,0.073396671,2.439953258,LE
TLK,food,5.463010532,165.9846684,30.38336964,0.054630105,1.659846684,FR
TLK,food,32.31013735,181.343921,5.612601366,0.323101373,1.81343921,LE
TLK,food,15.54149077,412.6521994,26.55164845,0.155414908,4.126521994,FR
TLK,food,32.37838444,362.0230102,11.18100907,0.323783844,3.620230102,FR
TLK,food,18.69337836,273.2447399,14.6171941,0.186933784,2.732447399,FR
TLK,food,7.502780393,206.6959717,27.54924987,0.075027804,2.066959717,FR
TLK,food,43.36518472,274.0326521,6.31918563,0.433651847,2.740326521,FR
TLK,food,17.03135004,269.8037715,15.84159628,0.1703135,2.698037715,FR
TLK,food,6.502181989,156.8066114,24.11599855,0.06502182,1.568066114,FR
TLK,food,44.75524552,212.8231542,4.755267271,0.447552455,2.128231542,FR
TLK,food,15.02229063,166.7170159,11.09797567,0.150222906,1.667170159,FR
TLK,food,24.69129664,363.4179005,14.71846156,0.246912966,3.634179005,FR
MGV,food,18.82658263,177.7217778,9.439938271,0.188265826,1.777217778,FR
MGV,food,18.49138779,294.6713164,15.93559769,0.184913878,2.946713164,FR
MGV,food,26.14515842,176.7977139,6.76215883,0.261451584,1.767977139,LE
MGV,food,24.3423306,162.2599191,6.665751185,0.243423306,1.622599191,LE
MGV,food,19.43940933,195.1773217,10.04029075,0.194394093,1.951773217,LE
MGV,food,119.0193998,106.1393756,0.891782145,1.190193998,1.061393756,FR
MGV,food,23.13799482,218.7562671,9.454417672,0.231379948,2.187562671,FR
MGV,food,56.40936644,325.0778044,5.762833814,0.564093664,3.250778044,FR
MGV,food,42.93525516,263.006127,6.125644903,0.429352552,2.63006127,FR
MGV,food,7.461503095,152.5792572,20.44886335,0.074615031,1.525792572,FR
MGV,food,5.88637643,200.8444534,34.12021908,0.058863764,2.008444534,FR
MGV,food,39.07721265,220.075793,5.631819111,0.390772126,2.20075793,LE
MGV,food,31.22293046,171.7075509,5.499405352,0.312229305,1.717075509,LE
MGV,food,21.50998504,136.7352545,6.356827039,0.21509985,1.367352545,FR
MGV,food,116.497188,118.3947625,1.016288586,1.16497188,1.183947625,FR
MGV,food,NA,NA,NA,NA,NA,FR
MGV,food,25.17282302,215.6606931,8.567203327,0.25172823,2.156606931,FR
MGV,food,9.012639764,305.1062029,33.85314524,0.090126398,3.051062029,FR
MGV,food,13.49011506,296.2927606,21.96369411,0.134901151,2.962927606,FL
MGV,food,21.19318403,339.1575941,16.00314486,0.21193184,3.391575941,FL
MGV,food,44.93809568,387.8638494,8.631069997,0.449380957,3.878638494,FR
MGV,food,0.778438891,149.9267026,192.5991934,-0.007784389,1.499267026,FR
MGV,food,26.72708914,239.9368132,8.977289369,0.267270891,2.399368132,FR
MGV,food,8.19084421,250.7010614,30.60747524,0.081908442,2.507010614,LE
MGV,food,1.894168175,149.9565773,79.16750965,0.018941682,1.499565773,FR
MGV,food,27.64103575,133.9197826,4.844962532,0.276410358,1.339197826,FR
MGV,food,5.941690387,180.8580032,30.4388131,0.059416904,1.808580032,FR
MGV,food,34.07404139,273.3433009,8.022039352,0.340740414,2.733433009,FR
MGV,food,72.13806541,165.6966541,2.296937867,0.721380654,1.656966541,FL
MGV,food,29.66717285,156.9349186,5.289850818,0.296671729,1.569349186,FL
MGV,food,31.52028211,165.8704265,5.262339528,0.315202821,1.658704265,FL
MGV,food,7.498000582,145.1100137,19.35316116,0.074980006,1.451100137,FR
MGV,food,28.88448586,179.7548345,6.223231231,0.288844859,1.797548345,OT
MGV,food,0.631637854,270.1518727,427.7005739,0.006316379,2.701518727,LE
MGV,food,13.59152194,249.9928971,18.3932968,0.135915219,2.499928971,FR
MGV,food,36.52188997,370.0383909,10.13196171,0.3652189,3.700383909,FR
MGV,food,24.46128208,440.209074,17.99615705,0.244612821,4.40209074,FR
MGV,food,15.52937413,220.9329131,14.22677509,0.155293741,2.209329131,FR
MGV,food,66.64370385,186.6761406,2.801106928,0.666437039,1.866761406,FL
MGV,food,6.955242193,185.412982,26.65801949,0.069552422,1.85412982,FR
MGV,food,26.20409352,224.3764636,8.562649321,0.262040935,2.243764636,FR
MGV,food,NA,NA,NA,NA,NA,LE
MGV,food,74.87922415,243.5541656,3.252626725,0.748792242,2.435541656,LE
MGV,food,48.60922724,197.8544396,4.070306212,0.486092272,1.978544396,FR
MGV,food,47.30156826,210.6339643,4.45300171,0.473015683,2.106339643,FR
MGV,food,30.74570223,361.5319393,11.7587797,0.307457022,3.615319393,FR
MGV,food,34.86017863,264.372467,7.583795534,0.348601786,2.64372467,FR
MGV,food,28.35740576,245.960783,8.67359959,0.283574058,2.45960783,FR
MGV,food,37.81838418,NA,NA,0.378183842,NA,FR
MGV,food,29.33589985,NA,NA,0.293358999,NA,LE
MGV,food,38.95429307,245.2980777,6.297074299,0.389542931,2.452980777,FR
MGV,food,8.451892384,184.7711948,21.86151768,0.084518924,1.847711948,FR
MGV,food,8.338157314,262.8749448,31.52674324,0.083381573,2.628749448,FR
MGV,food,42.13346145,202.4260394,4.804400882,0.421334615,2.024260394,FL
MGV,food,46.00802982,255.6167883,5.555916855,0.460080298,2.556167883,FR
MGV,food,68.40981501,197.2031036,2.882672663,0.68409815,1.972031036,FR
MGV,food,25.13327758,365.8674266,14.55709171,0.251332776,3.658674266,FR
MGV,food,24.90390456,275.1355997,11.04789006,0.249039046,2.751355997,FR
MGV,food,15.82368377,184.105067,11.63477922,0.158236838,1.84105067,FR
MGV,food,27.60451023,345.2007503,12.50523003,0.276045102,3.452007503,FR
MGV,food,16.66069702,289.2703717,17.36244116,0.16660697,2.892703717,FR
MGV,food,26.16428868,174.3734865,6.664560563,0.261642887,1.743734865,FR
MGV,food,11.62972233,134.2032067,11.53967419,0.116297223,1.342032067,FR
MGV,food,24.20464651,242.6378182,10.02443139,0.242046465,2.426378182,FR
