No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
200,21/01/2023,MGV 58,Tavolo,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.95,42.7020815,33.1746058,20.5411081,24.4546938,17.10,8.0728537,9.1525291,22.9700819,,
201,21/01/2023,MGV 59,Vandrika,Apocynaceae,Craspidospermum,verticillatum,Craspidospermum verticillatum,FR,0.96,33.6857272,25.0424014,16.5972578,8.5494506,6.28,24.3921898,5.4967294,30.1420342,,
202,21/01/2023,MGV 60,Ramy,Burseraceae,Canarium,madagascariensis,Canarium madagascariensis,FR,0.95,30.6482799,27.2514437,15.7613622,11.1155678,6.23,7.9824904,10.1814406,44.9618130,,
203,21/01/2023,MGV 61,Voakiringy,NA,NA,NA,NA,FR,0.94,64.2023594,55.4883399,27.4189771,6.5627685,3.96,3.1519556,2.0340987,26.6556654,,
204,21/01/2023,MGV 62,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,FR,0.96,23.7903110,18.5316817,12.0173720,12.0593338,6.90,13.1394134,3.9825376,52.1866104,8.295194508,13.86946061
205,20/03/2023,MGV 63,Ramy,Burseraceae,Canarium,madagascariensis,Canarium madagascariensis,FR,0.94,33.9158256,28.3878098,14.3090835,10.1020746,4.17,9.2347128,7.6311999,45.0530875,,
206,20/03/2023,MGV 64,Varongy,Lauraceae,Ocotea,nervosa,Ocotea nervosa,FR,0.95,56.4989189,48.1140430,33.0291299,9.0022119,6.54,5.3202170,10.8223268,20.8174651,,
207,20/03/2023,MGV 65,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.94,72.4033184,55.9480284,25.3826935,4.7512297,2.91,1.1363789,6.4060576,17.1468145,,
208,20/03/2023,MGV 66,Vahitamboro,NA,NA,NA,NA,FR,0.94,39.7984483,32.9097814,12.0046113,9.6989549,6.05,4.0790325,6.2011793,43.8701782,17.81975753,7.18193268
209,20/03/2023,MGV 67,Vandrika,Apocynaceae,Craspidospermum,verticillatum,Craspidospermum verticillatum,FR,0.99,44.4792784,36.7031191,23.4690512,11.0982828,5.38,14.2316563,3.9495058,31.9556096,7.107690174,0.75443229
