No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
57,09/12/2022,TALA 57,Kimbaletaka,Clusiaceae,Symphonia,sp.,Symphonia sp.,FR,0.90,19.4689773,17.6488668,8.1009908,7.5877160,4.36,17.9296015,1.9097896,56.3360448,,
58,09/12/2022,TALA 58,Voara-3,Moraceae,Ficus,sp.,Ficus sp.,FR,0.93,33.9762340,30.2319755,16.5650719,6.1226239,1.78,7.7892714,5.2591005,51.1947976,,
59,09/12/2022,TALA 59,Lanary Vatsilana,Sapindaceae,Plagioscyphus,sp.,Plagioscyphus sp.,FR,0.97,19.1495532,14.6432355,5.1999910,12.0985602,10.59,4.4627609,2.3114546,63.4884663,,
60,09/12/2022,TALA 60,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.91,66.7958979,60.8700298,35.9210947,5.4608691,1.44,3.0926123,3.0537225,25.6196183,3.808691309,0.5814785
61,09/12/2022,TALA 61,Fantsikahitra,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.92,60.0184383,43.8443635,17.3504571,12.7928531,10.49,0.8385442,2.8396693,25.8130794,,
62,09/12/2022,TALA 62,Rotra,Myrtaceae,Eugenia,sp.,Eugenia sp.,FR,0.92,52.2317644,44.2852939,21.4498081,5.7586796,2.83,2.9453390,-0.4395691,42.4353240,,
63,09/12/2022,TALA 63,Sandramy,Anacardiaceae,Abrahamia,turkii,Abrahamia turkii,FR,0.92,26.1190125,23.6713876,15.2691028,7.4989489,3.23,14.3394434,1.2030023,55.1090229,,
64,09/12/2022,TALA 64,Ramandriona,Proteaceae,Delobeia,thouarsii,Delobeia thouarsii,FR,0.91,28.4362802,26.3683414,17.0470759,7.8405635,NA,2.0858449,12.3571678,NA,,
65,09/12/2022,TALA 65,Tavolomanitra,Lauraceae,Cryptocarya,crassifolia,Cryptocarya crassifolia,FR,0.93,32.3536672,24.7318872,15.7641158,14.1309149,9.60,7.5206381,3.2507356,47.2722235,6.920938104,23.7934413
66,09/12/2022,TALA 66,Tavolopina,Lauraceae,Cryptocarya,thouvenotii,Cryptocarya thouvenotii,FR,0.94,NA,NA,NA,17.4104070,NA,4.8241222,1.9398214,NA,,
67,09/12/2022,TALA 67,Lanary,Sapindaceae,Plagioscyphus,sp.,Plagioscyphus sp.,FR,0.91,NA,NA,NA,12.7116942,NA,6.1368347,2.6715536,NA,,
68,19/01/2023,TALA 68,Ramandriona,Proteaceae,Delobeia,thouarsii,Delobeia thouarsii,FR,0.94,22.3981329,18.4988432,8.6109314,11.1706299,9.02,3.1862206,9.1659220,56.2272679,,
